rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad
0,23.5205,92.3315,21.844,0,0,157,PL004,4,0
0,23.5205,92.3315,21.8405,0,0,157,PL004,5,70
0,23.5205,92.3315,21.84,0,0,157,PL004,6,0
0,23.5205,92.3315,21.839,0,0,157,PL004,7,0
0,23.5205,92.3315,21.8365,0,0,157,PL004,8,0
0,23.5205,92.3315,21.833,0,0,157,PL004,9,0
0,23.5205,92.3315,21.83,0,0,157,PL004,10,0
0,23.5205,92.3315,21.8255,0,0,157,PL005,1,0
0,23.5205,92.3315,21.8255,0,0,157,PL005,2,0
0,23.5205,92.3315,21.819,0,0,157,PL005,3,40
0,23.5205,92.3315,21.819,0,0,157,PL005,4,0
0,23.5205,92.3315,21.819,0,0,157,PL005,5,0
0,23.5205,92.3315,21.819,0,0,157,PL005,6,0
0,23.5205,92.3315,21.819,0,0,157,PL005,7,60
0,23.5205,92.3315,21.819,0,0,157,PL005,8,0
0,23.5205,92.3315,21.819,0,0,157,PL005,9,70
0,23.5205,92.3315,21.819,0,0,157,PL005,10,0
0,23.5205,92.3315,21.819,0,0,157,PL006,1,0
0,23.5205,92.3315,21.819,0,0,156.5,PL006,2,0
0,23.5205,92.3315,21.819,0,0,156,PL006,3,0
0,23.5205,92.3315,21.819,0,0,156,PL006,4,0
0,23.5205,92.3315,21.819,0,0,156,PL006,5,0
0,23.5205,92.2615,21.819,0,0,156,PL006,6,0
0,23.5205,92.0555,21.819,0,0,155,PL006,7,0
0,23.5205,91.8715,21.819,0,0,154,PL006,8,0
0,23.5205,91.8555,21.819,0,0,154,PL006,9,40
0,23.5205,91.8555,21.819,0,0,154,PL006,10,30
0,23.5205,91.8555,21.819,0,0,153.5,PL007,1,0
0,23.5205,91.8555,21.819,0,0,153,PL007,2,0
0,23.542,91.8555,21.819,0,0,153,PL007,3,0
0,23.5525,91.8555,21.819,0,0,153,PL007,4,0
0,23.5845,91.8555,21.819,0,0,153,PL007,5,0
0,23.606,91.8555,21.819,0,0,153,PL007,6,0
0,23.606,91.8555,21.819,0,0,153,PL007,7,0
0,23.6275,91.8555,21.819,0,0,153,PL007,8,0
0,23.649,91.8555,21.819,0,0,152.5,PL007,9,0
0,23.649,91.8555,21.819,0,0,152,PL007,10,0
0,23.66,91.8555,21.819,0,0,152,PL008,1,0
0,23.66,91.8555,21.819,0,0,152,PL008,2,0
0,23.66,91.8555,21.819,0,0,152,PL008,3,50
0,23.66,91.8555,21.819,0,0,152,PL008,4,0
0,23.66,91.8555,21.819,0,0,151,PL008,5,0
0,23.66,91.8555,21.819,0,0,150,PL008,6,0
0,23.66,91.8555,21.819,0,0,150,PL008,7,0
0,23.66,91.8555,21.819,0,0,150,PL008,8,0
0,23.66,91.8555,21.819,0,0,150,PL008,9,0
0,23.66,91.8555,21.819,0,0,150,PL008,10,0
0,23.66,91.8555,21.819,0,0,150,PL009,1,0
0,23.66,91.8555,21.819,0,0,150,PL009,2,0
0,23.66,91.8555,21.819,0,0,150,PL009,3,0
0,23.66,91.8555,21.819,0,0,150,PL009,4,0
0,23.66,91.8555,21.819,0,0,150,PL009,5,0
0,23.66,91.8555,21.819,0,0,150,PL009,6,0
0,23.66,91.8555,21.8255,0,0,150,PL009,7,0
0,23.66,91.8555,21.83,0,0,149.5,PL009,8,0
0,23.66,91.8555,21.833,0,0,149,PL009,9,40
0,23.66,91.8555,21.8365,0,0,149,PL009,10,0
0,23.66,91.8555,21.839,0,0,149,PL010,1,0
0,23.66,91.8555,21.8405,0,0,149,PL010,2,0
0,23.66,91.8555,21.844,0,0,149,PL010,3,0
0,23.66,91.8555,21.852,0,0,149,PL010,4,0
0,23.66,91.8555,21.861,0,0,149,PL010,5,0
0,23.66,91.8555,21.865,0,0,149,PL010,6,0
0,23.66,91.8555,21.8655,0,0,149,PL010,7,0
0,23.66,91.8555,21.8705,0,0,149,PL010,8,65
0,23.66,91.8555,21.875,0,0,149,PL010,9,0
0,23.66,91.8555,21.8855,0,0,149,PL010,10,0
0,22.47,92.958,21.352,0,0,145,PL001,1,0
0,22.47,92.958,21.352,0,0,145,PL001,2,0
0,22.47,92.958,21.352,0,0,145,PL001,3,10
0,22.47,92.958,21.352,0,0,145,PL001,4,0
0,22.47,92.958,21.352,0,0,145,PL001,5,0
0,22.47,92.958,21.352,0,0,145,PL001,6,0
0,22.47,92.958,21.352,0,0,145,PL001,7,0
